//==========================================================================
// Blink
//==========================================================================

"DOTA_Tooltip_Ability_item_blink"                     "Blink Dagger"
"DOTA_Tooltip_ability_item_blink_Description"         "Active: Blink - Teleport to a target point up to %blink_range% units away.  If damage is taken, Blink Dagger cannot be used for %blink_damage_cooldown% seconds."
"DOTA_Tooltip_ability_item_blink_Lore"                "The fabled dagger used by the fastest assassin ever to walk the lands."
"DOTA_Tooltip_ability_item_blink_Note0"               "Self-casting will cause you to teleport in the direction of your team's fountain."
"DOTA_Tooltip_ability_item_blink_Note1"               "If you used Blink to teleport to a distance over the maximum range, you'll be teleported 4/5 of the maximum range instead."

"DOTA_Tooltip_Ability_item_blink_2"                     "Blink Dagger"
"DOTA_Tooltip_ability_item_blink_2_Description"         "Active: Blink - Teleport to a target point up to %blink_range% units away.  If damage is taken, Blink Dagger cannot be used for %blink_damage_cooldown% seconds."
"DOTA_Tooltip_ability_item_blink_2_Lore"                "The fabled dagger used by the fastest assassin ever to walk the lands."
"DOTA_Tooltip_ability_item_blink_2_Note0"               "Self-casting will cause you to teleport in the direction of your team's fountain."
"DOTA_Tooltip_ability_item_blink_2_Note1"               "If you used Blink to teleport to a distance over the maximum range, you'll be teleported 4/5 of the maximum range instead."

"DOTA_Tooltip_Ability_item_blink_3"                     "Blink Dagger"
"DOTA_Tooltip_ability_item_blink_3_Description"         "Active: Blink - Teleport to a target point up to %blink_range% units away.  If damage is taken, Blink Dagger cannot be used for %blink_damage_cooldown% seconds."
"DOTA_Tooltip_ability_item_blink_3_Lore"                "The fabled dagger used by the fastest assassin ever to walk the lands."
"DOTA_Tooltip_ability_item_blink_3_Note0"               "Self-casting will cause you to teleport in the direction of your team's fountain."
"DOTA_Tooltip_ability_item_blink_3_Note1"               "If you used Blink to teleport to a distance over the maximum range, you'll be teleported 4/5 of the maximum range instead."

"DOTA_Tooltip_Ability_item_blink_4"                     "Blink Dagger"
"DOTA_Tooltip_ability_item_blink_4_Description"         "Active: Blink - Teleport to a target point up to %blink_range% units away.  If damage is taken, Blink Dagger cannot be used for %blink_damage_cooldown% seconds."
"DOTA_Tooltip_ability_item_blink_4_Lore"                "The fabled dagger used by the fastest assassin ever to walk the lands."
"DOTA_Tooltip_ability_item_blink_4_Note0"               "Self-casting will cause you to teleport in the direction of your team's fountain."
"DOTA_Tooltip_ability_item_blink_4_Note1"               "If you used Blink to teleport to a distance over the maximum range, you'll be teleported 4/5 of the maximum range instead."

"DOTA_Tooltip_Ability_item_blink_5"                     "Blink Dagger"
"DOTA_Tooltip_ability_item_blink_5_Description"         "Active: Blink - Teleport to a target point up to %blink_range% units away.  If damage is taken, Blink Dagger cannot be used for %blink_damage_cooldown% seconds."
"DOTA_Tooltip_ability_item_blink_5_Lore"                "The fabled dagger used by the fastest assassin ever to walk the lands."
"DOTA_Tooltip_ability_item_blink_5_Note0"               "Self-casting will cause you to teleport in the direction of your team's fountain."
"DOTA_Tooltip_ability_item_blink_5_Note1"               "If you used Blink to teleport to a distance over the maximum range, you'll be teleported 4/5 of the maximum range instead."
