//=================================================================================
// Magic Wand
//=================================================================================
"DOTA_Tooltip_ability_item_magic_wand_2"								"Magic Wand"
"DOTA_Tooltip_ability_item_recipe_magic_wand_2"							"Magic Wand Recipe"
"DOTA_Tooltip_ability_item_magic_wand_2_Description"					"Active: Energy Charge - Instantly restores health and mana based on the number of charges stored. Gains a charge (max %max_charges%) whenever a nearby visible enemy uses an ability."
"DOTA_Tooltip_ability_item_magic_wand_2_Lore"							"A simple wand used to channel magic energies, it is favored by apprentice wizards and great warlocks alike."
"DOTA_Tooltip_ability_item_magic_wand_2_Note0"							"Gains charges for spells cast by visible enemies in 1200 range."
"DOTA_Tooltip_ability_item_magic_wand_2_Note1"							"Certain abilities and item abilities will not add charges."
"DOTA_Tooltip_ability_item_magic_wand_2_bonus_all_stats"				"+$all"
"DOTA_Tooltip_ability_item_magic_wand_2_restore_per_charge"				"HEALTH/MANA PER CHARGE:"

"DOTA_Tooltip_ability_item_magic_wand_3"								"Magic Wand"
"DOTA_Tooltip_ability_item_recipe_magic_wand_3"							"Magic Wand Recipe"
"DOTA_Tooltip_ability_item_magic_wand_3_Description"					"Active: Energy Charge - Instantly restores health and mana based on the number of charges stored. Gains a charge (max %max_charges%) whenever a nearby visible enemy uses an ability."
"DOTA_Tooltip_ability_item_magic_wand_3_Lore"							"A simple wand used to channel magic energies, it is favored by apprentice wizards and great warlocks alike."
"DOTA_Tooltip_ability_item_magic_wand_3_Note0"							"Gains charges for spells cast by visible enemies in 1300 range."
"DOTA_Tooltip_ability_item_magic_wand_3_Note1"							"Certain abilities and item abilities will not add charges."
"DOTA_Tooltip_ability_item_magic_wand_3_bonus_all_stats"				"+$all"
"DOTA_Tooltip_ability_item_magic_wand_3_restore_per_charge"				"HEALTH/MANA PER CHARGE:"

"DOTA_Tooltip_ability_item_magic_wand_4"								"Magic Wand"
"DOTA_Tooltip_ability_item_recipe_magic_wand_4"							"Magic Wand Recipe"
"DOTA_Tooltip_ability_item_magic_wand_4_Description"					"Active: Energy Charge - Instantly restores health and mana based on the number of charges stored. Gains a charge (max %max_charges%) whenever a nearby visible enemy uses an ability."
"DOTA_Tooltip_ability_item_magic_wand_4_Lore"							"A simple wand used to channel magic energies, it is favored by apprentice wizards and great warlocks alike."
"DOTA_Tooltip_ability_item_magic_wand_4_Note0"							"Gains charges for spells cast by visible enemies in 1400 range."
"DOTA_Tooltip_ability_item_magic_wand_4_Note1"							"Certain abilities and item abilities will not add charges."
"DOTA_Tooltip_ability_item_magic_wand_4_bonus_all_stats"				"+$all"
"DOTA_Tooltip_ability_item_magic_wand_4_restore_per_charge"				"HEALTH/MANA PER CHARGE:"

"DOTA_Tooltip_ability_item_magic_wand_5"								"Magic Wand"
"DOTA_Tooltip_ability_item_recipe_magic_wand_5"							"Magic Wand Recipe"
"DOTA_Tooltip_ability_item_magic_wand_5_Description"					"Active: Energy Charge - Instantly restores health and mana based on the number of charges stored. Gains a charge (max %max_charges%) whenever a nearby visible enemy uses an ability."
"DOTA_Tooltip_ability_item_magic_wand_5_Lore"							"A simple wand used to channel magic energies, it is favored by apprentice wizards and great warlocks alike."
"DOTA_Tooltip_ability_item_magic_wand_5_Note0"							"Gains charges for spells cast by visible enemies in 1500 range."
"DOTA_Tooltip_ability_item_magic_wand_5_Note1"							"Certain abilities and item abilities will not add charges."
"DOTA_Tooltip_ability_item_magic_wand_5_bonus_all_stats"				"+$all"
"DOTA_Tooltip_ability_item_magic_wand_5_restore_per_charge"				"HEALTH/MANA PER CHARGE:"
