//=============================================================================
// Revenants Brooch
//=============================================================================
// "DOTA_Tooltip_Ability_item_revenants_brooch"                                   "Revenant's Brooch"
// "DOTA_Tooltip_Ability_item_recipe_revenants_brooch"                            "Revenant's Brooch Recipe"
// "DOTA_Tooltip_ability_item_revenants_brooch_Description"                       "<h1>Toggle: Phantom Province</h1>When enabled, attacks cost %manacost_per_hit% mana and deal magical damage."
// "DOTA_Tooltip_ability_item_revenants_brooch_Lore"                              "The cursed brooch of a fallen guardian who stalks forever between the veil of life and death."
// "DOTA_Tooltip_ability_item_revenants_brooch_bonus_damage"                      "+$damage"
// "DOTA_Tooltip_ability_item_revenants_brooch_spell_lifesteal"                   "%+$spell_lifesteal"

"DOTA_Tooltip_Ability_item_revenants_brooch_2"                                  "#{DOTA_Tooltip_Ability_item_revenants_brooch}"
"DOTA_Tooltip_Ability_item_recipe_revenants_brooch_2"                           "#{DOTA_Tooltip_Ability_item_recipe_revenants_brooch}"
"DOTA_Tooltip_Ability_item_revenants_brooch_2_Description"                      "#{DOTA_Tooltip_ability_item_revenants_brooch_Description}"
"DOTA_Tooltip_Ability_item_revenants_brooch_2_Lore"                             "#{DOTA_Tooltip_ability_item_revenants_brooch_Lore}"
"DOTA_Tooltip_Ability_item_revenants_brooch_2_bonus_damage"                     "#{DOTA_Tooltip_ability_item_revenants_brooch_bonus_damage}"
"DOTA_Tooltip_Ability_item_revenants_brooch_2_spell_lifesteal"                  "#{DOTA_Tooltip_ability_item_revenants_brooch_spell_lifesteal}"

"DOTA_Tooltip_Ability_item_revenants_brooch_3"                                  "#{DOTA_Tooltip_Ability_item_revenants_brooch}"
"DOTA_Tooltip_Ability_item_recipe_revenants_brooch_3"                           "#{DOTA_Tooltip_Ability_item_recipe_revenants_brooch}"
"DOTA_Tooltip_Ability_item_revenants_brooch_3_Description"                      "#{DOTA_Tooltip_ability_item_revenants_brooch_Description}"
"DOTA_Tooltip_Ability_item_revenants_brooch_3_Lore"                             "#{DOTA_Tooltip_ability_item_revenants_brooch_Lore}"
"DOTA_Tooltip_Ability_item_revenants_brooch_3_bonus_damage"                     "#{DOTA_Tooltip_ability_item_revenants_brooch_bonus_damage}"
"DOTA_Tooltip_Ability_item_revenants_brooch_3_spell_lifesteal"                  "#{DOTA_Tooltip_ability_item_revenants_brooch_spell_lifesteal}"

"DOTA_Tooltip_Ability_item_revenants_brooch_4"                                  "#{DOTA_Tooltip_Ability_item_revenants_brooch}"
"DOTA_Tooltip_Ability_item_recipe_revenants_brooch_4"                           "#{DOTA_Tooltip_Ability_item_recipe_revenants_brooch}"
"DOTA_Tooltip_Ability_item_revenants_brooch_4_Description"                      "#{DOTA_Tooltip_ability_item_revenants_brooch_Description}"
"DOTA_Tooltip_Ability_item_revenants_brooch_4_Lore"                             "#{DOTA_Tooltip_ability_item_revenants_brooch_Lore}"
"DOTA_Tooltip_Ability_item_revenants_brooch_4_bonus_damage"                     "#{DOTA_Tooltip_ability_item_revenants_brooch_bonus_damage}"
"DOTA_Tooltip_Ability_item_revenants_brooch_4_spell_lifesteal"                  "#{DOTA_Tooltip_ability_item_revenants_brooch_spell_lifesteal}"

"DOTA_Tooltip_Ability_item_revenants_brooch_5"                                  "#{DOTA_Tooltip_Ability_item_revenants_brooch}"
"DOTA_Tooltip_Ability_item_recipe_revenants_brooch_5"                           "#{DOTA_Tooltip_Ability_item_recipe_revenants_brooch}"
"DOTA_Tooltip_Ability_item_revenants_brooch_5_Description"                      "#{DOTA_Tooltip_ability_item_revenants_brooch_Description}"
"DOTA_Tooltip_Ability_item_revenants_brooch_5_Lore"                             "#{DOTA_Tooltip_ability_item_revenants_brooch_Lore}"
"DOTA_Tooltip_Ability_item_revenants_brooch_5_bonus_damage"                     "#{DOTA_Tooltip_ability_item_revenants_brooch_bonus_damage}"
"DOTA_Tooltip_Ability_item_revenants_brooch_5_spell_lifesteal"                  "#{DOTA_Tooltip_ability_item_revenants_brooch_spell_lifesteal}"
